Date,AdjustedLowPrice
2010-09-21,35.5265953052207
2010-09-20,34.6547307717569
2010-09-17,34.3821160689303
2010-09-16,33.8569872865271
2010-09-15,33.6484433203095
2010-09-14,33.3569842831861
2010-09-13,33.387135218061
2010-09-10,32.8393932345016
2010-09-09,33.0303491553755
2010-09-08,32.5504467752845
2010-09-07,32.1924044236459
2010-09-03,31.9725538568502
2010-09-02,31.2275745076513
2010-09-01,30.9398843373873
2010-08-31,30.1949049881884
2010-08-30,30.2363750865308
2010-08-27,29.593142579645
2010-08-26,30.1858345819469
2010-08-25,29.7991739679563
2010-08-24,29.9813358661584
2010-08-23,30.8104865752162
2010-08-20,31.2815949326354
2010-08-19,31.2413936861356
2010-08-18,31.6057174825398
2010-08-17,31.3067207116977
2010-08-16,30.9825981617933
2010-08-13,31.2929015332135
2010-08-12,30.9197837141374
2010-08-11,31.3833543378379
2010-08-10,32.3557219875512
2010-08-09,32.609492356081
2010-08-06,32.3657722991761
2010-08-05,32.7326086734866
2010-08-04,32.702583367507
2010-08-03,32.5906480217842
2010-08-02,32.6157738008466
2010-07-30,32.0228054149749
2010-07-29,32.1735600893491
2010-07-28,32.694920004893
2010-07-27,32.7012014496586
2010-07-26,32.3758226108011
2010-07-23,32.1961732905052
2010-07-22,32.0743132620528
2010-07-21,31.9097394091943
2010-07-20,30.1521911637824
2010-07-19,30.1006833167046
2010-07-16,31.2074738844014
2010-07-15,31.0680258106054
2010-07-14,31.2815949326354
2010-07-13,30.9587286716841
2010-07-12,32.0177802591625
2010-07-09,32.055468927756
2010-07-08,32.0215491260218
2010-07-07,31.3758166041192
2010-07-06,30.9248088699499
2010-07-02,30.552947339827
2010-07-01,30.5554599177333
2010-06-30,31.4084801169003
2010-06-29,31.9474280777879
2010-06-28,33.2313553878744
2010-06-25,33.3934166628266
2010-06-24,33.6811068330906
2010-06-23,33.6559810540282
2010-06-22,34.1082450771506
2010-06-21,33.760253037137
2010-06-18,34.0981947655257
2010-06-17,33.8569872865271
2010-06-16,32.7426841108906
2010-06-15,32.098182752162
2010-06-14,31.9109956981475
2010-06-11,31.0768198332772
2010-06-10,30.4273184445152
2010-06-09,30.4637508241556
2010-06-08,30.8607381333409
2010-06-07,31.4763197203687
2010-06-04,31.9888856132408
2010-06-03,32.7150206281429
2010-06-02,32.7055984609945
2010-06-01,32.5328587299408
2010-05-28,31.8280806272417
2010-05-27,31.2954141111197
2010-05-26,30.6220432322485
2010-05-25,29.7941488121438
2010-05-24,30.9373717594811
2010-05-21,29.0642449303823
2010-05-20,29.6748013615976
2010-05-19,30.7602350170915
2010-05-18,31.4398873407282
2010-05-17,31.1195336576832
2010-05-14,31.3444093802913
2010-05-13,32.2112487579426
2010-05-12,32.5001952171597
2010-05-11,31.4700382756031
2010-05-10,31.2225493518389
2010-05-07,28.2928835131679
2010-05-06,25.0315573908739
2010-05-05,31.2476751309012
2010-05-04,32.2552188713018
2010-05-03,33.025323999563
2010-04-30,32.7891416763769
2010-04-29,32.9160268606418
2010-04-28,32.2125050468957
2010-04-27,32.7288398066272
2010-04-26,33.6924134336686
2010-04-23,33.5429150482476
2010-04-22,32.1861229788803
2010-04-21,32.1270773980837
2010-04-20,30.5221682604756
2010-04-19,30.3732980195312
2010-04-16,30.7225463484979
2010-04-15,30.8431500879972
2010-04-14,30.6622444787483
2010-04-13,30.2903829486254
2010-04-12,30.3783231753436
2010-04-09,30.2087241666727
2010-04-08,29.9047022400182
2010-04-07,29.982604718001
2010-04-06,29.7740481888939
2010-04-05,29.4938957523486
2010-04-01,29.2401253838188
2010-03-31,29.454950794802
2010-03-30,29.4285687267865
2010-03-29,29.0981647321165
2010-03-26,28.7124840235093
2010-03-25,28.4235375642922
2010-03-24,28.5818299723851
2010-03-23,28.1534354393719
2010-03-22,27.6572013028903
2010-03-19,27.792880509827
2010-03-18,27.9662483853573
2010-03-17,28.0491634562631
2010-03-16,27.9536854958261
2010-03-15,27.6697641924215
2010-03-12,28.3607231166363
2010-03-11,28.0554449010287
2010-03-10,28.0403694335912
2010-03-09,27.3732799994856
2010-03-08,27.4185064017979
2010-03-05,26.9637298007692
2010-03-04,26.2099564288985
2010-03-03,26.1232724911333
2010-03-02,26.098146712071
2010-03-01,25.810456541807
2010-02-26,25.3770368529813
2010-02-25,24.7350731979381
2010-02-24,24.8544206484843
2010-02-23,24.5868311014702
2010-02-22,25.0240196571552
2010-02-19,25.2652271361538
2010-02-18,25.2413576460446
2010-02-17,25.2338199123259
2010-02-16,25.3167349832317
2010-02-12,24.5604490334547
2010-02-11,24.3795434242057
2010-02-10,24.4046692032681
2010-02-09,24.4662273619709
2010-02-08,24.372005690487
2010-02-05,23.9762746702549
2010-02-04,24.0667274748794
2010-02-03,24.424769826518
2010-02-02,24.2941157753937
2010-02-01,24.0328076731452
2010-01-29,23.9008973330678
2010-01-28,24.9624614984524
2010-01-27,25.0668591104565
2010-01-26,25.4499016122622
2010-01-25,25.149648552467
2010-01-22,24.7689929996723
2010-01-21,26.0315633975557
2010-01-20,26.3192535678197
2010-01-19,26.0353322644151
2010-01-18,25.8632206778379
2010-01-15,25.8632206778379
2010-01-14,26.2589516980701
2010-01-13,25.6408575331361
2010-01-12,25.9323165702594
2010-01-11,26.1873432277424
2010-01-08,26.2639768538825
2010-01-07,26.2627205649294
2010-01-06,26.4762896869595
2010-01-05,26.7903619252389
2010-01-04,26.6810647863177
2009-12-31,26.4524201968502
2009-12-30,26.1697551823987
2009-12-29,26.2225193184297
2009-12-28,26.3331983751993
2009-12-24,25.5466358616522
2009-12-23,25.2275384675603
2009-12-22,24.9574363426399
2009-12-21,24.5818059456577
2009-12-18,24.1961252370505
2009-12-17,23.9951190045516
2009-12-16,24.4411015829085
2009-12-15,24.2802965969094
2009-12-14,24.191100081238
2009-12-11,24.3003972201593
2009-12-10,24.638338948548
2009-12-09,23.9084350667865
2009-12-08,23.7061725453345
2009-12-07,23.7036599674283
2009-12-04,23.9046661999272
2009-12-03,24.6571832828448
2009-12-02,24.5918562572826
2009-12-01,24.7275354642194
2009-11-30,24.9712555211242
2009-11-27,24.9210039629995
2009-11-25,25.5981437087301
2009-11-24,25.4901028587619
2009-11-23,25.4963843035275
2009-11-20,24.8443703368593
2009-11-19,25.1006532832954
2009-11-18,25.6282946436049
2009-11-17,25.7539235389167
2009-11-16,25.7551798278698
2009-11-13,25.3858308756531
2009-11-12,25.3054283826536
2009-11-11,25.3556799407783
2009-11-10,25.2526642466227
2009-11-09,24.6559269938917
2009-11-06,24.1709994579882
2009-11-05,24.0981346987073
2009-11-04,23.8983847551616
2009-11-03,23.3569242163678
2009-11-02,23.3129541030086
2009-10-30,23.37535397531
2009-10-29,24.1383359452071
2009-10-28,24.0076818940828
2009-10-27,24.6797964840009
2009-10-26,25.1383419518889
2009-10-23,25.5315603942148
2009-10-22,25.4411075895903
2009-10-21,25.0290448129677
2009-10-20,24.8556769374374
2009-10-19,23.3104415251024
2009-10-16,23.5981316953664
2009-10-15,23.8104445284433
2009-10-14,23.8983847551616
2009-10-13,23.8318014406463
2009-10-12,23.8242637069276
2009-10-09,23.6961222337096
2009-10-08,23.7300420354438
2009-10-07,23.747881338578
2009-10-06,23.530292091898
