DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta
0.015,29.11,3.65,4.92,12.4,19.84,4.31,17.45,12.644,26980000000,26510000000,26.42,2.93,3.5,14.61,3.5,4050000000,14.61,940350000,1.57,7.5,2,1230000000,2.08,82050000,1.553,9.526,1510000000,1.073
0.57,19,2.49,4.09,12.7,18.47,3.73,21.83,20.02,23170000000,23170000000,15.75,1.66,2.34,10.81,2.34,3900000000,10.81,1250000000,2.52,16.3,14.5,1430000000,2.88,34200000,1.07,12.15,23170000000,0.64
0.61,21.19,2.59,4.38,12.57,18.19,3.93,21.71,20.65,25160000000,25160000000,17.97,1.95,2.47,11.58,2.47,4150000000,11.58,1280000000,2.57,8.7,13.1,1270000000,2.6,36500000,1.1,12.33,1800000000,0.74
0.58,20.31,2.59,4.32,12.98,18.17,3.61,22.47,21.07,25480000000,25480000000,18.22,1.99,2.46,11.58,2.46,4150000000,11.58,1340000000,2.71,20.9,7.4,1360000000,2.76,36000000,1.08,12.64,1810000000,0.77
0.27,19.95,2.56,4.19,13.02,19.32,3.14,21.69,21.53,25350000000,25350000000,18.53,2.1,2.41,10.77,2.41,4150000000,10.77,1370000000,2.78,6.7,6.8,1690000000,3.46,17300000,1.07,13.2,1900000000,0.84
7.29,21.34,2.75,4.71,12.87,18.89,4.39,22.59,22.23,29030000000,29030000000,18.95,2.22,2.69,12.28,2.69,4430000000,12.28,1390000000,2.83,0.9,5.9,1150000000,2.38,459000000,1.07,13,1530000000,0.83
0.46,22.85,3.01,4.94,13.39,15.1,3.01,21.78,21.66,30250000000,30250000000,20.6,2.45,2.88,15.85,2.88,4430000000,15.85,1370000000,2.87,4.2,7.9,1420000000,2.93,29300000,1.08,13.19,1550000000,0.83
0.46,23.2,3.08,5.06,13.39,15.1,3.01,21.78,21.66,30250000000,30250000000,20.92,2.48,2.88,15.85,2.88,4430000000,15.85,1370000000,2.87,4.2,7.9,1420000000,2.93,29300000,1.08,13.19,1550000000,0.83
1.614,31.62,4.27,6.97,14.95,14.74,16.1,25.5,8.332,4470000000,4120000000,23.04,1.53,3.96,26.8,3.96,803520000,26.8,155310000,1.246,277.1,15.4,353930000,3.12,1.614,1.614,5.614,257960000,1.032
1.614,32.07,4.31,7.03,14.95,14.74,16.1,25.5,8.332,4540000000,4130000000,23.37,1.54,3.97,26.86,3.97,803520000,26.86,155310000,1.246,277.1,15.4,353930000,3.12,1.614,1.614,5.614,257960000,1.06
1.637,35.49,5.86,11.13,17.95,19.04,20.97,34.17,4.985,7230000000,6690000000,24.76,1.65,5.42,23.33,5.42,1060000000,23.33,221510000,0.89,84.1,29.6,532690000,2.34,1.637,1.637,2.847,373130000,1.315
5.45,36.85,3.82,4.35,10.66,15.22,6.8,12.74,10.13,7560000000,7560000000,18.42,1.18,3.29,15.97,3.29,1990000000,15.97,244900000,1.06,59.6,0.1,1330000000,5.92,110000000,1.75,8.98,578700000,2.13
36.49,36.36,3.85,4.35,10.7,15.13,5.8,12.6,10.21,7690000000,7690000000,15.88,1.26,3.33,16.1,3.33,2070000000,16.1,247400000,1.07,3.5,2.4,1950000000,8.73,745600000,2.45,9.14,559100000,2.15
48.01,25.49,2.96,1.93,12.52,23.47,5.2,7.7,13.96,11770000000,11770000000,21.49,2.2,3.63,8.65,3.63,1850000000,8.65,406000000,1.72,12.9,1.8,382000000,1.74,2530000000,1.05,22.61,1560000000,1.72
69.94,25.57,3.09,2.18,12.53,23.22,5.09,8.18,14.1,12640000000,12640000000,21.91,2.23,3.88,9.21,3.88,1850000000,9.21,408000000,1.74,1.9,1.7,419000000,1.85,3230000000,1.14,20.42,1600000000,1.72
0.804,14.58,1.88,1.61,11.08,23.11,3.74,11.34,28.079,8950000000,12830000000,15.1,5.47,2.69,7.89,2.69,3080000000,7.89,527720000,3.16,37.2,19.6,511000000,2.63,4380000000,1.598,28.576,1040000000,0.12
0.804,15.31,1.96,1.68,11.1,23.14,3.74,11.34,27.933,9330000000,13210000000,15.74,5.77,2.78,8.13,2.78,3080000000,8.13,527890000,3.136,37.2,19.6,511000000,2.63,4380000000,1.598,28.576,1040000000,0.107
0.974,18.34,1.93,1.72,10.27,20.89,3.37,10.02,27.694,10070000000,15860000000,16,5.57,3.07,9.7,3.07,3080000000,9.7,529720000,2.83,37.2,19.6,69000000,0.36,5860000000,0.875,29.774,915000000,0.167
